Region,Sales,Profit,Date,Units Sold,Product Category
Punjab,6880.67,1526.1,12-10-2023,98,Furniture
Gujarat,2143.37,619.74,07-06-2023,27,Furniture
Karnataka,866.59,493.11,24-12-2023,36,Electronics
Gujarat,574.01,916.62,12-02-2023,39,Books
Haryana,4414.86,1097.33,25-10-2023,133,Furniture
Gujarat,7510.27,725.17,10-07-2023,55,Furniture
Rajasthan,2340.63,414.71,29-09-2023,51,Clothing
Punjab,6030.14,1599.56,04-09-2023,31,Books
Gujarat,7717.05,1226.11,15-05-2023,131,Electronics
Punjab,8978.7,1042.54,21-10-2023,132,Electronics
Haryana,2733.71,556.42,29-08-2023,34,Electronics
Karnataka,4392.35,341,17-05-2023,43,Furniture
Rajasthan,6414.16,237.62,10-02-2023,112,Electronics
Maharashtra,2446.22,202.27,03-09-2023,60,Clothing
Punjab,858.08,458.34,24-05-2023,121,Electronics
Punjab,9244.21,1350.29,02-06-2023,38,Books
Gujarat,6560.03,440.72,22-01-2023,45,Clothing
Punjab,543.51,1061.22,28-11-2023,82,Clothing
Haryana,1073.79,1734.35,23-06-2023,60,Books
Punjab,6166.21,1912.62,25-05-2023,70,Electronics
Haryana,6967.04,604.73,15-05-2023,123,Clothing
Gujarat,2161.79,147.51,09-09-2023,111,Books
Punjab,5720.56,865.7,16-12-2023,106,Clothing
Punjab,6674.44,1933.16,04-08-2023,135,Furniture
Haryana,3150.69,1785.07,11-04-2023,116,Electronics
Karnataka,1997.83,575.8,30-09-2023,36,Books
Karnataka,1356.18,1411.63,20-11-2023,150,Books
Gujarat,1457.81,626.39,14-12-2023,50,Books
Kerala,8460.59,490.66,16-03-2023,117,Furniture
Gujarat,2045.09,1472.22,10-12-2023,99,Books
Maharashtra,698.09,1499.4,07-04-2023,21,Books
Rajasthan,8279.51,859.32,07-10-2023,125,Clothing
Haryana,6836.74,1486.04,19-12-2023,90,Books
Karnataka,4997.31,1793.58,10-12-2023,16,Books
Maharashtra,1786.5,872.07,23-05-2023,118,Furniture
Gujarat,8840.88,1176.27,14-08-2023,55,Books
Kerala,8352.3,1548.63,09-08-2023,3,Books
Haryana,1111.12,1944.87,28-03-2023,31,Electronics
Gujarat,4684.66,994.09,08-07-2023,69,Furniture
Karnataka,3991.98,1917.29,17-02-2023,102,Books
Maharashtra,9263.92,1132.61,26-12-2023,135,Electronics
Gujarat,9212.71,1215.57,09-05-2023,72,Electronics
Karnataka,3617.46,1169.85,30-04-2023,143,Books
Haryana,3773.9,450.22,27-11-2023,141,Furniture
Kerala,8661.27,1380.99,02-12-2023,51,Clothing
Maharashtra,4479.16,948.26,29-12-2023,138,Electronics
Karnataka,9959.96,1189.53,25-12-2023,24,Electronics
Kerala,9457.44,719.71,13-12-2023,41,Furniture
Rajasthan,1728.17,1623.02,13-03-2023,103,Clothing
Punjab,1205.24,749.77,30-03-2023,41,Furniture
Maharashtra,3328.41,1840.59,05-11-2023,78,Books
Haryana,6687.21,486.51,14-03-2023,129,Books
Maharashtra,7243.16,1832.27,24-06-2023,70,Electronics
Punjab,7450.11,954.94,21-07-2023,5,Books
Karnataka,2277.19,1043.11,26-06-2023,116,Books
Maharashtra,3016.99,1744.18,13-08-2023,35,Clothing
Gujarat,4735.14,938.86,02-02-2023,97,Books
Rajasthan,2087.65,412.55,29-09-2023,43,Clothing
Punjab,7243.1,1090.09,26-07-2023,111,Clothing
Maharashtra,524.47,786.9,23-07-2023,72,Furniture
Haryana,8845.39,444.86,28-08-2023,36,Furniture
Karnataka,4454.63,262.38,08-06-2023,113,Books
Rajasthan,3669.02,556.87,06-04-2023,105,Books
Karnataka,7242.15,246.4,06-08-2023,51,Books
Gujarat,8577.8,619.85,01-11-2023,55,Furniture
Karnataka,2588.11,341.46,11-08-2023,41,Books
Karnataka,6066.39,963.52,17-03-2023,150,Books
Karnataka,8065.02,515.67,26-05-2023,64,Books
Kerala,3926.67,605.53,20-03-2023,134,Books
Haryana,2687.35,935.99,05-02-2023,123,Clothing
Punjab,2459.13,926.82,24-07-2023,121,Furniture
Kerala,4220.8,1339.63,30-10-2023,51,Electronics
Rajasthan,1998.15,1768.63,09-10-2023,129,Books
Gujarat,2433.45,456.59,05-04-2023,36,Clothing
Haryana,1925.44,1865.42,25-10-2023,98,Books
Karnataka,7550.1,728.09,02-11-2023,22,Electronics
Maharashtra,5605.04,574.03,11-09-2023,138,Clothing
Kerala,5764.29,407.78,11-12-2023,16,Electronics
Karnataka,6163.67,313.99,28-06-2023,117,Clothing
Kerala,6886.2,911.47,20-05-2023,106,Clothing
Kerala,3500.24,1181.5,24-12-2023,111,Clothing
Maharashtra,5720.82,380.85,05-08-2023,109,Furniture
Haryana,5781.19,526.93,22-12-2023,132,Books
Karnataka,2510.06,1512.91,26-09-2023,125,Books
Haryana,1958.36,273.17,15-07-2023,63,Furniture
Rajasthan,3577.74,1731.94,29-11-2023,24,Books
Punjab,4774.74,950.88,03-04-2023,119,Clothing
Kerala,709.21,485.65,11-11-2023,86,Electronics
Rajasthan,9034.56,1441.8,24-03-2023,76,Clothing
Rajasthan,3089.11,879.42,11-05-2023,75,Electronics
Gujarat,9675.68,1251.18,27-07-2023,105,Electronics
Kerala,4707.59,820.87,06-02-2023,150,Clothing
Maharashtra,4599.64,195.29,10-09-2023,144,Furniture
Haryana,9072.62,934.07,19-08-2023,12,Books
Kerala,5288.48,643.89,26-04-2023,102,Furniture
Punjab,8619.62,1123.88,07-03-2023,43,Furniture
Maharashtra,2725.06,781.99,29-12-2023,99,Books
Rajasthan,6200.75,379.72,15-11-2023,94,Furniture
Karnataka,8852.55,1836.06,06-06-2023,91,Clothing
Maharashtra,743.66,1092.95,22-07-2023,40,Furniture
Punjab,8138.35,206.17,25-09-2023,99,Electronics
Haryana,7873.98,1586.28,02-08-2023,96,Furniture
Punjab,8279.34,161.05,06-11-2023,91,Furniture
Karnataka,3882.81,437.86,19-12-2023,46,Furniture
Gujarat,3705.47,1005.2,22-06-2023,56,Clothing
Kerala,8414.69,893.77,01-03-2023,89,Books
Gujarat,6897.42,606.47,30-10-2023,72,Electronics
Punjab,3002.71,1912.93,23-05-2023,74,Furniture
Gujarat,5746.4,450.08,04-10-2023,99,Books
Kerala,2792.38,440.24,23-06-2023,41,Electronics
Maharashtra,4812.45,654.05,29-03-2023,42,Electronics
Rajasthan,2891.47,72.46,09-09-2023,109,Electronics
Gujarat,4236.34,838.09,01-12-2023,95,Clothing
Haryana,4864.63,332.83,20-10-2023,50,Books
Maharashtra,2806.12,1936.16,02-08-2023,109,Electronics
Maharashtra,4467.84,266.86,13-04-2023,113,Electronics
Maharashtra,4746.29,274.15,11-08-2023,41,Clothing
Kerala,1351.39,1992.48,13-09-2023,6,Electronics
Karnataka,948.85,568.07,27-11-2023,122,Clothing
Kerala,6493.35,504.26,14-07-2023,136,Books
Rajasthan,4773.22,1603.31,12-09-2023,60,Books
Maharashtra,4124.52,283.01,09-02-2023,62,Furniture
Maharashtra,5516.39,1394.9,05-03-2023,140,Furniture
Rajasthan,1565.98,1364.64,21-11-2023,127,Furniture
Gujarat,1301.22,892.76,13-04-2023,86,Books
Karnataka,7983.88,1724.89,14-09-2023,8,Books
Gujarat,1120.27,435.69,19-03-2023,99,Clothing
Haryana,2436.89,1695.56,30-11-2023,38,Electronics
Punjab,4250.76,1759.16,09-06-2023,53,Clothing
Karnataka,7172.95,857.92,02-11-2023,95,Clothing
Maharashtra,6820.22,1641.53,03-12-2023,73,Electronics
Rajasthan,7825.14,380.56,25-12-2023,149,Clothing
Punjab,2301.92,366.31,13-08-2023,22,Books
Maharashtra,1802.37,817.55,26-06-2023,140,Electronics
Haryana,3236.34,1614.85,23-03-2023,75,Electronics
Punjab,3416.14,1422.65,25-04-2023,69,Clothing
Haryana,2508.87,930.49,06-03-2023,21,Electronics
Karnataka,4380.4,503.68,28-02-2023,102,Clothing
Gujarat,3090.75,825.79,01-07-2023,18,Books
Maharashtra,9970.12,820.83,21-01-2023,34,Clothing
Punjab,8314.18,1967.5,20-03-2023,21,Electronics
Haryana,2896.34,69.63,09-10-2023,12,Books
Gujarat,7567.72,1820.39,31-01-2023,106,Furniture
Karnataka,3749.85,1897.49,13-05-2023,104,Books
Punjab,5828.28,229.16,09-10-2023,61,Furniture
Maharashtra,7051.86,1802.07,04-11-2023,124,Electronics
Haryana,5272.86,1121.2,03-04-2023,54,Electronics
Rajasthan,7456.16,248.19,26-12-2023,8,Clothing
Karnataka,6595.38,427.17,16-09-2023,124,Clothing
Haryana,3178.56,962.86,13-05-2023,19,Electronics
Karnataka,5340.47,1622.69,05-06-2023,95,Books
Karnataka,9491.31,1796.93,26-11-2023,53,Books
Gujarat,6653.1,869.33,12-10-2023,72,Furniture
Gujarat,5419.55,155.17,13-10-2023,59,Books
Kerala,668.63,1234.15,22-11-2023,125,Clothing
Haryana,2047.95,1097.86,24-12-2023,93,Clothing
Karnataka,6737.83,1171.22,07-09-2023,30,Books
Kerala,5336.62,1938.4,13-03-2023,38,Clothing
Karnataka,6638.07,52.57,07-05-2023,105,Furniture
Maharashtra,2289.6,830.9,21-02-2023,122,Furniture
Punjab,8400.94,312.31,27-04-2023,9,Books
Rajasthan,9082.65,222.14,28-05-2023,107,Electronics
Maharashtra,4777.19,1984.51,19-01-2023,60,Books
Karnataka,2160.48,1884.72,24-07-2023,47,Books
Gujarat,9996.88,941.56,23-06-2023,14,Books
Rajasthan,3214.6,1717.4,05-07-2023,147,Clothing
Punjab,2192.33,1751.75,07-12-2023,31,Electronics
Gujarat,3054.89,599.58,23-01-2023,4,Electronics
Punjab,2221.06,69.65,08-08-2023,104,Furniture
Karnataka,905.19,1482,01-08-2023,17,Clothing
Punjab,8421.94,1219.56,07-05-2023,44,Books
Kerala,8695.93,160.6,11-04-2023,109,Clothing
Karnataka,7549.5,823.38,23-06-2023,140,Clothing
Haryana,5083.74,1732.43,21-04-2023,78,Clothing
Haryana,7088.27,445.64,22-07-2023,2,Clothing
Haryana,5575.83,357.97,09-08-2023,64,Furniture
Kerala,832.92,1132.74,18-06-2023,79,Books
Gujarat,8828.63,1302.57,31-07-2023,31,Electronics
Kerala,8607.26,215.28,24-06-2023,115,Furniture
Rajasthan,1353.29,1319.58,29-07-2023,139,Electronics
Punjab,6273.1,1015.28,08-05-2023,44,Electronics
Haryana,1021.63,862.97,24-10-2023,33,Furniture
Gujarat,5214.8,1301.46,08-04-2023,83,Books
Haryana,4254.55,1600.4,31-12-2023,37,Electronics
Haryana,5293.3,576.22,06-06-2023,95,Clothing
Kerala,1289.54,1765.23,24-09-2023,113,Furniture
Rajasthan,1837.49,420.49,21-05-2023,53,Books
Rajasthan,3501.46,779.33,10-08-2023,142,Furniture
Karnataka,2568.36,1809.41,09-12-2023,119,Furniture
Haryana,7825.13,641.13,14-07-2023,50,Electronics
Punjab,8216.35,428.2,06-06-2023,108,Furniture
Karnataka,3899.96,1672.53,18-05-2023,44,Books
Kerala,3463.36,1613.72,21-07-2023,143,Books
Rajasthan,6800.54,945.05,24-04-2023,106,Electronics
Punjab,2733.62,1655.41,23-07-2023,145,Electronics
Gujarat,2365.42,389.54,19-11-2023,117,Clothing
Haryana,2060.74,377.94,08-11-2023,91,Furniture
Rajasthan,3215.69,282.05,14-03-2023,123,Electronics
Haryana,2057.66,1740.54,16-03-2023,83,Clothing
Punjab,2895.72,1657.17,29-08-2023,16,Books
Rajasthan,5416.84,1570.24,19-07-2023,47,Clothing
Maharashtra,3214.31,521.22,12-04-2023,26,Books
Gujarat,7886.35,1698.49,29-12-2023,104,Books
Kerala,1167.47,1108.78,01-08-2023,75,Furniture
Gujarat,1968.53,1030.86,28-10-2023,64,Clothing
Gujarat,4659.83,1188.53,02-04-2023,17,Electronics
Maharashtra,5262.19,1406.76,13-06-2023,138,Clothing
Gujarat,5936.57,370.3,21-07-2023,84,Clothing
Kerala,9139.68,1148.57,06-01-2023,35,Books
Karnataka,3436.65,419.94,01-08-2023,141,Clothing
Kerala,3570.4,1978.95,30-07-2023,148,Furniture
Karnataka,9416.01,183.62,03-04-2023,19,Books
Kerala,6161.15,1575.99,06-06-2023,71,Books
Haryana,768.71,1138.82,12-05-2023,81,Furniture
Punjab,2191.63,226.23,28-03-2023,26,Furniture
Gujarat,9873.41,1828.24,30-07-2023,7,Electronics
Karnataka,1228.44,524.59,07-09-2023,78,Electronics
Gujarat,6169.06,1543.5,19-03-2023,66,Electronics
Maharashtra,3239.78,1053.53,19-10-2023,26,Books
Maharashtra,5522.15,857.33,19-05-2023,126,Clothing
Karnataka,2285.07,620.84,25-05-2023,90,Books
Maharashtra,6497.26,1995.4,08-05-2023,112,Clothing
Rajasthan,6661.08,1520.2,19-06-2023,123,Books
Maharashtra,2108.08,1911.41,08-01-2023,54,Books
Gujarat,3072.67,1026.99,12-09-2023,55,Furniture
Karnataka,6595.37,1746.9,30-08-2023,118,Books
Rajasthan,3215.72,1054.15,31-07-2023,147,Clothing
Maharashtra,5134.6,950.45,08-07-2023,64,Furniture
Karnataka,7289.19,1186.54,10-03-2023,150,Furniture
Haryana,4747.68,58.53,03-11-2023,102,Electronics
Punjab,4599.46,1953.96,11-11-2023,49,Electronics
Rajasthan,7254.73,1877.96,03-03-2023,30,Furniture
Kerala,2639.9,1318.04,04-11-2023,55,Electronics
Haryana,4593.9,449.8,13-04-2023,32,Electronics
Karnataka,4727.09,1239.67,23-01-2023,30,Books
Haryana,9671.42,438.48,28-04-2023,7,Clothing
Rajasthan,2251.83,614.06,24-05-2023,42,Furniture
Gujarat,8181.84,624.72,03-12-2023,144,Books
Kerala,2840.73,1827.32,29-08-2023,125,Books
Gujarat,4470.81,1173.28,21-01-2023,73,Furniture
Haryana,8436,701.68,22-01-2023,12,Electronics
Karnataka,2356.44,788.4,03-07-2023,63,Clothing
Punjab,928.4,365.36,06-03-2023,80,Electronics
Punjab,7906.31,239.31,21-02-2023,19,Furniture
Kerala,2394.33,1249.57,21-05-2023,11,Clothing
Kerala,2403.85,1495.96,13-02-2023,105,Electronics
Haryana,5305.65,1760.75,24-02-2023,110,Electronics
Rajasthan,5063.19,1753.85,01-10-2023,30,Electronics
Gujarat,8496.3,1942.62,27-11-2023,142,Electronics
Gujarat,8310.36,386.03,14-09-2023,121,Books
Rajasthan,8734.22,718.67,11-11-2023,36,Furniture
Kerala,9992.81,1641.42,06-03-2023,89,Furniture
Kerala,9512.97,732.77,07-07-2023,39,Electronics
Punjab,1059.73,1658.31,09-03-2023,42,Books
Punjab,2485.05,668.46,10-08-2023,15,Furniture
Gujarat,1689.91,1338.26,11-04-2023,43,Furniture
Maharashtra,9036.71,1183.19,28-07-2023,13,Electronics
Maharashtra,6879.9,138.44,31-01-2023,91,Electronics
Kerala,3161.47,1201.85,12-05-2023,113,Books
Punjab,806.41,678.98,24-06-2023,131,Books
Maharashtra,3894.45,390.85,30-11-2023,36,Books
Maharashtra,639.43,1607.07,18-10-2023,120,Books
Karnataka,2556.16,610.51,02-12-2023,129,Electronics
Punjab,6478.94,777.41,25-05-2023,116,Electronics
Haryana,9254.49,1823.66,16-09-2023,5,Books
Maharashtra,4627.27,1542.36,27-11-2023,12,Electronics
Karnataka,9006.21,1958.81,17-03-2023,104,Books
Maharashtra,6202.89,1720.8,14-01-2023,147,Clothing
Rajasthan,9344.62,1801.06,13-03-2023,99,Electronics
Punjab,3779.74,1576.91,30-04-2023,23,Electronics
Kerala,1273.35,1358.21,01-11-2023,72,Furniture
Rajasthan,8785.08,1246.76,27-03-2023,135,Clothing
Punjab,5276.74,330.93,31-05-2023,134,Clothing
Rajasthan,3996.78,1380.69,13-08-2023,139,Books
Rajasthan,810.82,922.24,27-09-2023,125,Books
Haryana,5993.29,1589.75,22-10-2023,136,Clothing
Kerala,4217.28,1399.57,19-10-2023,81,Furniture
Gujarat,8879.71,1834.22,11-06-2023,22,Furniture
Kerala,5722.18,593.5,01-08-2023,4,Books
Maharashtra,4745.11,941.49,19-02-2023,65,Books
Karnataka,3885.98,105.25,23-04-2023,119,Furniture
Punjab,623.3,201.64,14-07-2023,78,Clothing
Punjab,7202.78,75.2,06-07-2023,147,Electronics
Karnataka,4710.5,106.67,19-07-2023,107,Electronics
Gujarat,1992.06,1300.12,20-01-2023,65,Electronics
Haryana,6419.45,980.66,30-06-2023,81,Books
Kerala,8995.33,832.71,06-06-2023,141,Books
Maharashtra,9781.4,984.97,29-04-2023,138,Furniture
Gujarat,3145.69,1633.76,17-05-2023,9,Books
Karnataka,2838.85,1588.25,09-07-2023,13,Books
Kerala,6697.49,1810.72,07-05-2023,146,Furniture
Haryana,7573.19,942.13,10-02-2023,94,Clothing
Punjab,2635.28,1528.53,25-08-2023,6,Furniture
Maharashtra,4093.04,1663.46,14-03-2023,77,Furniture
Rajasthan,9008.67,1880.88,09-08-2023,8,Furniture
Kerala,3255.48,1138.02,13-12-2023,60,Furniture
Gujarat,896.32,825.92,01-11-2023,81,Clothing
Rajasthan,2182.22,1562.25,28-07-2023,80,Clothing
Gujarat,2931.1,255.58,21-03-2023,129,Clothing
Maharashtra,3092.62,1075.58,08-05-2023,129,Clothing
Kerala,6663.37,395.95,20-11-2023,26,Clothing
Haryana,9173.15,1650.93,11-12-2023,129,Furniture
Gujarat,2422.87,185.18,29-09-2023,145,Clothing
Karnataka,1625.52,599.24,22-02-2023,145,Electronics
Rajasthan,9386.95,559.88,02-02-2023,19,Furniture
Gujarat,1113.66,1008.07,12-11-2023,15,Furniture
Gujarat,9460.17,441.49,26-02-2023,1,Electronics
Gujarat,7713.79,1522.67,19-03-2023,124,Furniture
Gujarat,7052.03,688.91,15-08-2023,51,Electronics
Rajasthan,3366.21,1582.24,16-08-2023,36,Furniture
Haryana,1570.53,1024.31,09-11-2023,138,Electronics
Punjab,8264.02,1069.29,21-03-2023,105,Furniture
Maharashtra,5122.94,1625.32,22-07-2023,105,Clothing
Gujarat,2782.04,114.92,09-03-2023,98,Furniture
Punjab,3387.06,820.79,28-11-2023,7,Clothing
Haryana,9856.1,275.08,24-11-2023,9,Furniture
Haryana,4957.99,184.75,05-01-2023,69,Books
Punjab,6053.93,1800.18,12-09-2023,130,Electronics
Rajasthan,2293.6,492.17,11-10-2023,88,Clothing
Haryana,9230.31,1891.04,12-11-2023,114,Books
Haryana,5400.03,1785.68,10-06-2023,114,Clothing
Gujarat,8914.71,1676.03,06-04-2023,129,Furniture
Karnataka,1158.39,170.35,01-09-2023,150,Clothing
Rajasthan,8001.52,856.67,05-12-2023,7,Furniture
Rajasthan,1634.86,1317.97,07-11-2023,17,Furniture
Gujarat,7822.72,187.29,21-05-2023,127,Clothing
Maharashtra,1207.44,720.4,17-07-2023,55,Electronics
Punjab,2731.18,1767.63,28-08-2023,7,Books
Karnataka,8488.4,1979.7,16-12-2023,130,Clothing
Rajasthan,5455.27,1608.08,06-05-2023,21,Books
Kerala,8891.03,699.15,06-03-2023,123,Electronics
Karnataka,6100.31,282.91,17-07-2023,77,Electronics
Kerala,4712.93,1300.28,13-01-2023,148,Furniture
Gujarat,1932.01,1856.2,09-03-2023,64,Clothing
Rajasthan,8763.52,1082.26,27-03-2023,27,Clothing
Punjab,4492.73,1328.41,18-04-2023,150,Books
Haryana,2459.68,1574.69,29-05-2023,150,Books
Punjab,2387.45,687.7,16-02-2023,68,Electronics
Rajasthan,6024.92,200.95,08-09-2023,16,Books
Gujarat,1681.05,1234.7,18-08-2023,114,Clothing
Gujarat,7191.16,1470.06,02-09-2023,9,Books
Rajasthan,8384.14,959.32,22-08-2023,67,Electronics
Gujarat,870.91,1745.86,09-08-2023,22,Clothing
Gujarat,1049.32,1425.52,03-04-2023,49,Clothing
Kerala,1434.34,491.69,30-11-2023,28,Clothing
Maharashtra,6969.58,1518.74,02-10-2023,24,Furniture
Maharashtra,3251.51,862.21,30-01-2023,123,Electronics
Kerala,3515.57,1382.06,06-03-2023,19,Electronics
Punjab,578.16,1360.35,21-06-2023,34,Electronics
Punjab,6594.4,417.27,25-11-2023,93,Furniture
Punjab,8003.89,835.76,20-01-2023,125,Books
Kerala,6528.6,356.43,22-10-2023,9,Electronics
Gujarat,5911.45,138.14,13-09-2023,55,Electronics
Karnataka,6652.93,1566.38,05-05-2023,35,Clothing
Haryana,6414.86,1098.82,15-11-2023,90,Clothing
Gujarat,9411.12,1153.28,20-08-2023,10,Clothing
Punjab,1418.81,173.73,10-03-2023,15,Books
Karnataka,5249.69,793.93,31-10-2023,45,Furniture
Punjab,5243.84,347.88,02-01-2023,21,Furniture
Maharashtra,6113.63,839.87,11-05-2023,65,Books
Maharashtra,6438.21,1096.11,22-08-2023,43,Furniture
Karnataka,7476.81,1566.33,12-01-2023,7,Books
Gujarat,4160.04,1824.44,17-05-2023,31,Furniture
Rajasthan,8039.05,1008,31-05-2023,68,Clothing
Maharashtra,747.1,680.99,15-07-2023,65,Clothing
Gujarat,9935.77,614.73,12-05-2023,142,Electronics
Kerala,8523.13,1116.47,27-09-2023,34,Clothing
Haryana,1596.99,1774.01,18-06-2023,116,Electronics
Karnataka,4467.9,1217.14,29-10-2023,88,Furniture
Rajasthan,9356.27,1543.55,10-02-2023,77,Books
Rajasthan,2931.48,224.8,19-01-2023,135,Clothing
Haryana,9479.41,1019.29,16-10-2023,7,Furniture
Gujarat,8496.32,1507.97,10-11-2023,79,Electronics
Haryana,8565.36,1125.69,08-08-2023,23,Furniture
Gujarat,9529.37,641.44,18-03-2023,31,Books
Karnataka,9379.64,989.37,27-09-2023,40,Electronics
Punjab,1117.52,1235.77,03-09-2023,10,Books
Maharashtra,1632.82,1247.8,18-02-2023,23,Electronics
Kerala,2321.87,504.32,16-11-2023,66,Clothing
Karnataka,8967.81,726.48,29-01-2023,130,Clothing
Maharashtra,9799.78,1365.84,12-10-2023,27,Electronics
Gujarat,8307.48,1769.67,25-10-2023,97,Books
Maharashtra,4836.31,1978.68,17-07-2023,63,Furniture
Punjab,4320.04,1199,06-01-2023,145,Electronics
Kerala,3473.26,802.41,25-10-2023,142,Furniture
Rajasthan,1956.67,1040.32,19-10-2023,17,Books
Haryana,2495.73,1859.96,08-05-2023,12,Clothing
Gujarat,6237.48,621.55,21-07-2023,3,Furniture
Karnataka,3206.88,1640.15,04-11-2023,91,Electronics
Haryana,5381.15,1344.77,22-06-2023,145,Furniture
Maharashtra,6689.04,853.99,02-02-2023,70,Electronics
Karnataka,2282.58,973.26,25-08-2023,137,Furniture
Haryana,9847.61,1985.26,01-10-2023,99,Books
Kerala,3869.46,492.48,03-01-2023,105,Furniture
Haryana,3026.08,1854.45,31-07-2023,150,Electronics
Maharashtra,7550.17,604.75,14-11-2023,120,Furniture
Gujarat,2732.74,1265.76,17-07-2023,64,Furniture
Haryana,6601.09,1782.25,06-02-2023,87,Furniture
Punjab,9613.44,1151.51,24-11-2023,64,Electronics
Haryana,9845.43,1037.38,07-07-2023,91,Clothing
Kerala,6008.06,355.59,14-02-2023,32,Books
Punjab,6178.1,1102.68,22-08-2023,116,Books
Gujarat,883.08,1450.14,14-02-2023,95,Books
Kerala,6659.1,1114.52,14-01-2023,20,Books
Haryana,1695.58,1730.22,30-06-2023,5,Furniture
Kerala,2101.71,1034.95,03-04-2023,89,Furniture
Haryana,1461.66,931.63,13-04-2023,144,Electronics
Kerala,5027.39,182.9,18-05-2023,125,Electronics
Maharashtra,582.53,1735.51,18-04-2023,8,Furniture
Gujarat,6655.45,1817.68,01-06-2023,86,Furniture
Punjab,6314.5,576.97,20-11-2023,122,Clothing
Maharashtra,4576.48,1958.48,21-08-2023,27,Books
Maharashtra,2821.46,291.84,06-05-2023,72,Electronics
Kerala,6584.85,162.27,23-08-2023,14,Books
Kerala,8842.07,734.44,08-04-2023,92,Books
Punjab,8291.78,1269.6,01-04-2023,70,Clothing
Punjab,1043.56,177.17,10-02-2023,76,Books
